Country,Year,Municipal Waste
Spain,2016,461.932
Spain,2017,472.007
Spain,2018,475.916
Sweden,2005,475.006
Sweden,2006,486.881
Sweden,2007,482.865
Sweden,2008,480.611
Sweden,2009,467.561
Sweden,2010,437.334
Sweden,2011,448.282
Sweden,2012,449.523
Sweden,2013,451.033
Sweden,2014,439.825
Sweden,2015,449.529
Sweden,2016,448.203
Sweden,2017,456.387
Sweden,2018,439.955
Switzerland,2005,668.759
Switzerland,2006,714.673
Switzerland,2007,725.091
Switzerland,2008,741.589
Switzerland,2009,707.943
Switzerland,2010,712.669
Switzerland,2011,692.805
Switzerland,2012,696.303
Switzerland,2013,703.92
Switzerland,2014,731.903
Switzerland,2015,726.788
Switzerland,2016,722.68
Switzerland,2017,708.626
Switzerland,2018,705.169
Turkey,2005,455.982
Turkey,2006,432.323
Turkey,2007,431.215
Turkey,2008,398.955
Turkey,2009,417.493
Turkey,2010,404.843
Turkey,2011,413.417
Turkey,2012,405.477
Turkey,2013,400.366
Turkey,2014,397.685
Turkey,2015,391.881
Turkey,2016,416.229
Turkey,2017,415.023
Turkey,2018,413.918
Great Britain,2005,582.554
Great Britain,2006,583.331
Great Britain,2007,565.941
Great Britain,2008,537.838
Great Britain,2009,517.399
Great Britain,2010,503.539
Great Britain,2011,485.241
Great Britain,2012,471.334
Great Britain,2013,475.354
Great Britain,2014,475.817
Great Britain,2015,477.907
Great Britain,2016,478.295
Great Britain,2017,463.255
Great Britain,2018,458.526
United States,2005,773.041
United States,2006,775.883
United States,2007,766.734
United States,2008,748.268
United States,2009,719.028
United States,2010,730.939
United States,2011,725.618
United States,2012,722.075
United States,2013,725.978
United States,2014,730.716
United States,2015,736.131
United States,2016,744.591
United States,2017,742.702
Chile,2005,315.998
Chile,2006,324.736
Chile,2007,332.295
Chile,2008,335.642
Chile,2009,342.262
Chile,2010,347.879
Chile,2011,356.421
Chile,2014,383.565
Chile,2015,400.535
Chile,2016,396.981
Chile,2017,439.729
Estonia,2005,433.143
Estonia,2006,397.224
Estonia,2007,447.818
Estonia,2008,391.023
Estonia,2009,338.289
Estonia,2010,304.782
Estonia,2011,300.518
Estonia,2012,280.39
Estonia,2013,292.852
Estonia,2014,356.726
Estonia,2015,359.265
Estonia,2016,375.508
Estonia,2017,389.301
Estonia,2018,404.779
Israel,2005,625.777
Israel,2006,632.724
Israel,2007,628.584
Israel,2008,631.549
Israel,2009,632.932
Israel,2010,629.308
Israel,2011,633.864
Israel,2012,635.25
Israel,2013,628.57
Israel,2014,630.905
Israel,2015,636.919
Israel,2016,648.837
Israel,2017,659.237
Israel,2018,675.081
Slovenia,2005,493.765
Slovenia,2006,515.114
Slovenia,2007,524.005
Slovenia,2008,538.282
Slovenia,2009,523.335
Slovenia,2010,489.4
Slovenia,2011,414.088
Slovenia,2012,360.625
Slovenia,2013,412.767
Slovenia,2014,430.528
Slovenia,2015,446.406
Slovenia,2016,454.076
Slovenia,2017,468.805
Slovenia,2018,485.184
Colombia,2005,175.531
Colombia,2006,173.377
Colombia,2007,206.847
Colombia,2008,204.559
Colombia,2009,249.287
Colombia,2010,196.663
Colombia,2011,210.22
Colombia,2012,193.484
Colombia,2013,194.698
Colombia,2014,192.435
Colombia,2015,206.909
Colombia,2016,233.083
Colombia,2017,218.622
Colombia,2018,240.021
Latvia,2005,317.941
Latvia,2006,341.563
Latvia,2007,391.667
Latvia,2008,346.306
Latvia,2009,351.066
Latvia,2010,320.993
Latvia,2011,344.209
Latvia,2012,317.837
Latvia,2013,344.262
Latvia,2014,359.189
Latvia,2015,399.495
Latvia,2016,406.465
Latvia,2017,409.098
Latvia,2018,407.097
Russia,2005,402.327
Russia,2006,424.715
Russia,2007,438.874
Russia,2008,450.754
Russia,2009,466.072
Russia,2010,481.943
Russia,2011,480.564
Russia,2012,558.213
Lithuania,2005,384.948
Lithuania,2006,401.328
Lithuania,2007,415.348
Lithuania,2008,426.093
Lithuania,2009,380.622
Lithuania,2010,400.99
Lithuania,2011,434.351
Lithuania,2012,436.754
Lithuania,2013,425.416
Lithuania,2014,427.478
Lithuania,2015,443.402
Lithuania,2016,440.227
Lithuania,2017,452.106
Lithuania,2018,464.28
Costa Rica,2010,325.053
Costa Rica,2011,353.882
Costa Rica,2012,358.069
Costa Rica,2013,365.35
Costa Rica,2014,368.827
Costa Rica,2015,383.112
Costa Rica,2016,246.063
Costa Rica,2017,253.428
Costa Rica,2018,289.645
